0:00:25.409448,soft
0:00:25.665322,release
0:00:37.893957,soft
0:00:37.980916,medium
0:00:38.854893,release
0:01:06.983801,medium
0:01:07.153481,release
0:03:05.257363,medium
0:03:05.365338,hard
0:03:06.131892,release
0:04:39.940022,soft
0:04:40.026016,medium
0:04:40.116766,release
0:07:17.761443,soft
0:07:17.948434,release
0:11:37.986118,soft
0:11:38.379628,release
0:16:00.734708,soft
0:16:00.995538,release
0:00:25.409448,soft
0:00:25.665322,release
0:00:37.893957,soft
0:00:37.980916,medium
0:00:38.854893,release
0:01:06.983801,medium
0:01:07.153481,release
0:03:05.257363,medium
0:03:05.365338,hard
0:03:06.131892,release
0:04:39.940022,soft
0:04:40.026016,medium
0:04:40.116766,release
0:07:17.761443,soft
0:07:17.948434,release
0:11:37.986118,soft
0:11:38.379628,release
0:16:00.734708,soft
0:16:00.995538,release
0:04:21.715284,soft
0:04:23.986796,release
0:04:30.276760,soft
0:04:32.542564,release
0:00:11.485252,soft
0:00:13.361304,release
0:00:21.996496,soft
0:00:22.907169,medium
0:00:23.371824,release
0:00:59.838458,soft
0:01:00.168161,release
0:01:00.607369,soft
0:01:01.039060,release
0:01:26.897703,soft
0:01:28.036271,release
0:01:30.394614,soft
0:01:34.760155,medium
0:01:35.637563,release
0:01:41.663504,soft
0:01:42.357735,release
0:01:42.538445,soft
0:01:45.504840,medium
0:01:46.554821,release
0:01:47.163135,soft
0:01:47.950623,medium
0:01:51.966327,release
0:01:52.406246,soft
0:01:54.502448,release
0:02:21.321832,soft
0:02:33.463572,release
0:03:06.574696,soft
0:03:17.579529,release
0:05:09.488754,soft
0:05:21.366728,release
0:05:33.387328,soft
0:05:33.551230,release
0:05:43.121367,soft
0:05:43.908292,release
0:06:26.974601,soft
0:06:28.935065,release
0:06:32.264164,soft
0:06:33.353635,release
0:06:46.454757,soft
0:06:47.331354,release
0:07:09.520865,soft
0:07:09.697706,release
0:07:54.858018,soft
0:07:55.558465,release
0:08:34.002399,soft
0:08:34.520080,release
0:09:25.364256,soft
0:09:26.068216,release
0:09:37.593499,soft
0:09:37.680098,release
0:09:38.381934,soft
0:09:38.646412,release
0:09:41.960617,soft
0:09:44.233251,release
0:12:00.691034,soft
0:12:00.777784,release
0:12:01.476978,soft
0:12:02.003569,release
0:12:45.505714,soft
0:12:47.339534,release
0:12:49.434705,soft
0:12:51.905587,medium
0:12:56.268088,release
0:15:11.399644,soft
0:15:16.901268,release
0:15:17.163705,soft
0:15:46.517192,medium
0:15:46.690559,release
0:15:54.730498,soft
0:15:58.570901,release
0:16:11.119119,soft
0:16:11.172908,release
0:16:11.795738,soft
0:16:12.390491,release
0:16:15.691335,soft
0:16:16.051894,release
0:04:21.715284,soft
0:04:23.986796,release
0:04:30.276760,soft
0:04:32.542564,release
0:00:11.485252,soft
0:00:13.361304,release
0:00:21.996496,soft
0:00:22.907169,medium
0:00:23.371824,release
0:00:59.838458,soft
0:01:00.168161,release
0:01:00.607369,soft
0:01:01.039060,release
0:01:26.897703,soft
0:01:28.036271,release
0:01:30.394614,soft
0:01:34.760155,medium
0:01:35.637563,release
0:01:41.663504,soft
0:01:42.357735,release
0:01:42.538445,soft
0:01:45.504840,medium
0:01:46.554821,release
0:01:47.163135,soft
0:01:47.950623,medium
0:01:51.966327,release
0:01:52.406246,soft
0:01:54.502448,release
0:02:21.321832,soft
0:02:33.463572,release
0:03:06.574696,soft
0:03:17.579529,release
0:05:09.488754,soft
0:05:21.366728,release
0:05:33.387328,soft
0:05:33.551230,release
0:05:43.121367,soft
0:05:43.908292,release
0:06:26.974601,soft
0:06:28.935065,release
0:06:32.264164,soft
0:06:33.353635,release
0:06:46.454757,soft
0:06:47.331354,release
0:07:09.520865,soft
0:07:09.697706,release
0:07:54.858018,soft
0:07:55.558465,release
0:08:34.002399,soft
0:08:34.520080,release
0:09:25.364256,soft
0:09:26.068216,release
0:09:37.593499,soft
0:09:37.680098,release
0:09:38.381934,soft
0:09:38.646412,release
0:09:41.960617,soft
0:09:44.233251,release
