Time,B,Elapsed_Time,TouchTag
29:55.3,48.25,3.127989,1
29:55.5,48.5,3.12927,3
29:55.8,48.75,3.127989,4
29:56.0,49,3.125427,1
29:56.3,49.25,3.127989,3
29:56.5,49.5,3.127989,4
29:56.8,49.75,3.125427,1
29:57.0,50,3.124146,2
29:57.2,50.25,3.134394,4
29:57.5,50.5,3.133113,1
29:57.8,50.75,3.12927,3
29:58.0,51,3.126708,4
29:58.2,51.25,3.126708,1
29:58.5,51.5,3.12927,4
29:58.8,51.75,3.121583,1
29:59.0,52,3.124146,3
29:59.3,52.25,3.130551,4
29:59.5,52.5,3.130551,1
29:59.8,52.75,3.130551,4
30:00.0,53,3.130551,4
30:00.2,53.25,3.131832,4
30:00.5,53.5,3.130551,4
30:00.7,53.75,3.127989,4
30:01.0,54,3.130551,4
30:01.3,54.25,3.12927,4
30:01.5,54.5,3.126708,4
30:01.8,54.75,3.133113,4
30:02.0,55,3.131832,4
30:02.3,55.25,3.12927,4
30:02.5,55.5,3.130551,4
30:02.7,55.75,3.136957,4
30:03.0,56,3.131832,4
30:03.3,56.25,3.134394,4
30:03.5,56.5,3.133113,4
30:03.8,56.75,3.127989,4
30:04.0,57,3.130551,4
30:04.2,57.25,3.133113,4
30:04.5,57.5,3.133113,4
30:04.8,57.75,3.134394,4
30:05.0,58,3.135676,4
30:05.3,58.25,3.134394,4
30:05.5,58.5,3.138238,4
30:05.8,58.75,3.133113,4
30:06.0,59,3.130551,4
30:06.3,59.25,3.134394,4
30:06.5,59.5,3.134394,4
30:06.7,59.75,3.135676,4
30:07.0,60,3.133113,4
30:07.3,60.25,3.134394,4
30:07.5,60.5,3.145924,4
30:07.7,60.75,3.142081,4
30:08.0,61,3.143362,4
30:08.3,61.25,3.139519,4
30:08.5,61.5,3.1408,4
30:08.8,61.75,3.138238,4
30:09.0,62,3.138238,4
30:09.3,62.25,3.138238,4
30:09.5,62.5,3.1408,4
30:09.7,62.75,3.1408,4
30:10.0,63,3.143362,4
30:10.2,63.25,3.1408,4
30:10.5,63.5,3.144643,4
30:10.8,63.75,3.143362,4
30:11.0,64,3.148487,4
30:11.3,64.25,3.147206,4
30:11.5,64.5,3.143362,4
30:11.8,64.75,3.144643,4
30:12.0,65,3.147206,4
30:12.2,65.25,3.144643,4
30:12.5,65.5,3.139519,4
30:12.8,65.75,3.147206,4
30:13.0,66,3.145924,4
30:13.3,66.25,3.143362,4
30:13.5,66.5,3.143362,4
30:13.7,66.75,3.1408,4
30:14.0,67,3.144643,4
30:14.3,67.25,3.143362,4
30:14.5,67.5,3.144643,4
30:14.8,67.75,3.144643,4
30:15.0,68,3.142081,4
30:15.3,68.25,3.148487,4
30:15.5,68.5,3.145924,4
30:15.8,68.75,3.139519,4
30:16.0,69,3.145924,4
30:16.2,69.25,3.139519,4
30:16.5,69.5,3.148487,4
30:16.8,69.75,3.144643,4
30:17.0,70,3.145924,4
30:17.2,70.25,3.147206,4
30:17.5,70.5,3.142081,4
30:17.8,70.75,3.142081,4
30:18.0,71,3.139519,4
30:18.3,71.25,3.147206,4
30:18.5,71.5,3.145924,4
30:18.8,71.75,3.144643,4
30:19.0,72,3.139519,4
30:19.2,72.25,3.15233,4
30:19.5,72.5,3.147206,4
30:19.7,72.75,3.145924,4
30:20.0,73,3.147206,4
30:20.3,73.25,3.147206,4
30:20.5,73.5,3.145924,4
30:20.8,73.75,3.149768,4
30:21.0,74,3.147206,4
30:21.3,74.25,3.1408,4
30:21.5,74.5,3.143362,4
30:21.7,74.75,3.149768,4
30:22.0,75,3.151049,4
30:22.3,75.25,3.1408,4
30:22.5,75.5,3.1408,4
30:22.8,75.75,3.143362,4
30:23.0,76,3.1408,4
30:23.2,76.25,3.1408,4
30:23.5,76.5,3.143362,4
30:23.8,76.75,3.143362,4
30:24.0,77,3.142081,4
30:24.3,77.25,3.142081,4
30:24.5,77.5,3.144643,4
30:24.8,77.75,3.147206,4
30:25.0,78,3.144643,4
30:25.3,78.25,3.1408,4
30:25.5,78.5,3.145924,4
30:25.7,78.75,3.145924,4
30:26.0,79,3.147206,4
30:26.3,79.25,3.145924,4
30:26.5,79.5,3.139519,4
30:26.7,79.75,3.147206,4
30:27.0,80,3.144643,4
30:27.3,80.25,3.142081,4
30:27.5,80.5,3.160017,4
30:27.8,80.75,3.149768,4
30:28.0,81,3.149768,4
30:28.3,81.25,3.145924,4
30:28.5,81.5,3.147206,4
30:28.7,81.75,3.148487,4
30:29.0,82,3.148487,4
30:29.2,82.25,3.145924,4
30:29.5,82.5,3.144643,4
30:29.8,82.75,3.15233,4
30:30.0,83,3.147206,4
30:30.3,83.25,3.15233,4
30:30.5,83.5,3.151049,4
30:30.8,83.75,3.15233,4
30:31.0,84,3.148487,4
30:31.2,84.25,3.15233,4
30:31.5,84.5,3.148487,4
30:31.8,84.75,3.144643,4
30:32.0,85,3.147206,4
30:32.3,85.25,3.148487,4
30:32.5,85.5,3.147206,4
30:32.7,85.75,3.143362,4
30:33.0,86,3.15233,4
30:33.3,86.25,3.149768,4
30:33.5,86.5,3.156173,4
30:33.8,86.75,3.145924,4
30:34.0,87,3.144643,4
30:34.3,87.25,3.1408,4
30:34.5,87.5,3.149768,4
30:34.8,87.75,3.151049,4
30:35.0,88,3.153611,4
30:35.2,88.25,3.154892,4
30:35.5,88.5,3.151049,4
30:35.8,88.75,3.156173,4
30:36.0,89,3.154892,4
30:36.2,89.25,3.154892,4
30:36.5,89.5,3.153611,4
30:36.8,89.75,3.154892,4
30:37.0,90,3.153611,4
30:37.3,90.25,3.157454,4
30:37.5,90.5,3.162579,4
30:37.8,90.75,3.157454,4
30:38.0,91,3.156173,4
30:38.2,91.25,3.156173,4
30:38.5,91.5,3.161298,4
30:38.7,91.75,3.157454,4
30:39.0,92,3.15233,4
30:39.3,92.25,3.158735,4
30:39.5,92.5,3.160017,4
30:39.8,92.75,3.158735,4
30:40.0,93,3.156173,4
30:40.3,93.25,3.162579,4
30:40.5,93.5,3.160017,4
30:40.7,93.75,3.158735,4
30:41.0,94,3.154892,4
30:41.3,94.25,3.162579,4
30:41.5,94.5,3.158735,4
30:41.8,94.75,3.161298,4
30:42.0,95,3.156173,4
30:42.2,95.25,3.153611,4
30:42.5,95.5,3.158735,4
30:42.8,95.75,3.15233,4
30:43.0,96,3.151049,4
30:43.3,96.25,3.157454,4
30:43.5,96.5,3.154892,4
30:43.8,96.75,3.154892,4
30:44.0,97,3.157454,4
30:44.3,97.25,3.156173,4
30:44.5,97.5,3.157454,4
30:44.7,97.75,3.154892,4
30:45.0,98,3.16386,4
30:45.3,98.25,3.160017,4
30:45.5,98.5,3.15233,4
30:45.7,98.75,3.161298,4
30:46.0,99,3.15233,4
30:46.3,99.25,3.16386,4
30:46.5,99.5,3.157454,4
30:46.8,99.75,3.165141,4
30:47.0,100,3.158735,4
30:47.3,100.25,3.158735,4
30:47.5,100.5,3.170265,4
30:47.7,100.75,3.158735,4
30:48.0,101,3.161298,4
30:48.2,101.25,3.161298,4
30:48.5,101.5,3.157454,4
30:48.8,101.75,3.158735,1
