Time,Measurement,TouchTag,SubjectID
15:22:57.500000,4.101959,1,A1
15:22:57.750000,4.125018,2,A1
15:22:58,4.16217,1,A1
15:22:58.250000,4.187792,2,A1
15:22:58.500000,4.209571,1,A1
15:22:58.750000,4.214695,2,A1
15:22:59,4.215976,1,A1
15:22:59.250000,4.204446,2,A1
15:22:59.500000,4.194198,1,A1
15:22:59.750000,4.185230000000002,2,A1
15:23:00,4.157046,2,A1
15:23:00.250000,4.146797,2,A1
15:23:00.500000,4.1327050000000005,2,A1
15:23:00.750000,4.121175,2,A1
15:23:01,4.114769,2,A1
15:23:01.250000,4.114769,2,A1
15:23:01.500000,4.104521,2,A1
15:23:01.750000,4.112207,2,A1
15:23:02,4.107083,2,A1
15:23:02.250000,4.105802,2,A1
15:23:02.500000,4.0968339999999985,2,A1
15:23:02.750000,4.082742,2,A1
15:23:03,4.078899,2,A1
15:23:03.250000,4.043028,2,A1
15:23:03.500000,4.054558,2,A1
15:23:03.750000,4.012281,2,A1
15:23:04,3.970005000000001,2,A1
15:23:04.250000,3.949508,2,A1
15:23:04.500000,3.9636,2,A1
15:23:04.750000,3.970005000000001,2,A1
15:23:05,3.980254,2,A1
15:23:05.250000,3.994346,2,A1
15:23:05.500000,4.007157,2,A1
15:23:05.750000,3.99947,2,A1
15:23:06,3.982816,2,A1
15:23:06.250000,3.984097,2,A1
15:23:06.500000,3.966162,2,A1
15:23:06.750000,3.953351,2,A1
15:23:07,3.932853,2,A1
15:23:07.250000,3.945664,2,A1
15:23:07.500000,4.04559,2,A1
15:23:07.750000,4.190354,2,A1
15:23:08,4.3697089999999985,2,A1
15:23:08.250000,4.463229,2,A1
15:23:08.500000,4.526002,2,A1
15:23:08.750000,4.579809,2,A1
15:23:09,4.574684,2,A1
15:23:09.250000,4.591339,2,A1
15:23:09.500000,4.7015129999999985,2,A1
15:23:09.750000,4.879586,2,A1
15:23:10,5.021788,2,A1
15:23:10.250000,5.082317,2,A1
15:23:10.500000,5.078474,2,A1
15:23:10.750000,5.020824,2,A1
15:23:11,4.938834,2,A1
15:23:11.250000,4.842752,2,A1
15:23:11.500000,4.737701,2,A1
15:23:11.750000,4.624964,2,A1
15:23:12,4.560909,2,A1
15:23:12.250000,4.517352,2,A1
15:23:12.500000,4.4878870000000015,2,A1
15:23:12.750000,4.477638,2,A1
15:23:13,4.466108,2,A1
15:23:13.250000,4.452016,2,A1
15:23:13.500000,4.425113,2,A1
15:23:13.750000,4.4183900000000005,2,A1
15:23:14,4.399174,2,A1
15:23:14.250000,4.3863629999999985,2,A1
15:23:14.500000,4.377395,2,A1
15:23:14.750000,4.3786760000000005,2,A1
15:23:15,4.367146,2,A1
15:23:15.250000,4.364584,2,A1
15:23:15.500000,4.374833,2,A1
15:23:15.750000,4.382519,2,A1
15:23:16,4.379957,2,A1
15:23:16.250000,4.368427,2,A1
15:23:16.500000,4.363303,2,A1
15:23:16.750000,4.354335,2,A1
15:23:17,4.354335,2,A1
15:23:17.250000,4.342805,2,A1
15:23:17.500000,4.340243,2,A1
15:23:17.750000,4.332557,2,A1
15:23:18,4.328713,2,A1
15:23:18.250000,4.3351190000000015,2,A1
15:23:18.500000,4.326151,2,A1
15:23:18.750000,4.329994,2,A1
15:23:19,4.321027,2,A1
15:23:19.250000,4.319746,2,A1
15:23:19.500000,4.308216000000002,2,A1
15:23:19.750000,4.294124,2,A1
15:23:20,4.292842,2,A1
15:23:20.250000,4.296686,1,A1
15:23:20.500000,4.297967,2,A1
15:23:20.750000,4.303091,1,A1
15:23:21,4.309497,2,A1
15:23:21.250000,4.308216000000002,1,A1
15:23:21.500000,4.319746,2,A1
15:23:21.750000,4.31334,1,A1
